Month,Circulating Supply,Total Supply,Token Price,Tokens Staked,Tokens Burnt,Tokens Fee Distributed,Tokens Fee to DAO,DAO Treasury,Total Burnt Tokens,Market Sentiment Index,Net Token Demand,Missions,Initiator Rewards Pool,Reward per Mission,Halving Index,Builders Sold,Fellowship Sold
1,90393002.66666666,200000000,1.5015163740107789,153760.00000000003,15386.66666666667,1383733.3333333335,153866.6666666667,20153866.666666668,15386.66666666667,1.0,182759.46666666662,11532,34686464.0,512.0,0,0.0,276746.6666666667
2,101575569.25026226,200000000,1.503322923067265,206870.8709251613,20699.07497377507,1861717.9595138622,206990.7497377507,20360857.41640442,36085.74164044174,1.0,244421.24237506534,15531,27530240.0,512.0,0,0.0,372343.59190277243
3,115163486.83905005,200000000,1.505026198381558,278117.2252379022,27818.3744545541,2502988.507833481,278183.744545541,20639041.16094996,63904.11609499584,0.8,326202.5763577712,20905,17897472.0,256.0,1,0.0,500597.70156669617
4,124737878.67594025,200000000,1.5123356489805484,326931.1860013594,32703.749644311258,2942274.3635704815,327037.49644311256,20966078.65739307,96607.8657393071,0.8,1514534.0376551864,24602,12229376.0,256.0,1,0.0,588454.8727140963
5,135676821.05599105,200000000,1.5207389522299024,408335.2795500643,40837.49532825723,3674977.8422180703,408374.95328257227,21374453.610675644,137445.36106756434,0.8,1884722.931728771,30877,5115392.0,128.0,2,0.0,734995.568443614
6,143470495.0010047,200000000,1.543896450238594,458869.02480979194,45898.738831967385,4129702.8597782454,458987.3883196738,21833440.99899532,183344.09989953172,1.5,2912985.3373103025,34891,1096064.0,64.0,3,0.0,825940.5719556492
7,145784572.79987243,200000000,1.5648352849142422,515254.7632822547,51531.95344655711,4637228.098356975,515319.5344655711,22348760.53346089,234876.05334608883,1.0,3954357.2597045954,39775,0.0,32.0,4,0.0,927445.619671395
8,146903400.56238294,200000000,1.5913441334847442,614467.2281291864,61450.557082287334,5530166.710468991,614505.5708228733,22963266.10428376,296326.6104283762,1.0,4977188.3821157785,48077,0.0,16.0,5,0.0,1106033.342093798
9,147851737.12869737,200000000,1.6255588143416668,784908.7910763801,78499.67670188894,7064091.14374491,784996.7670188893,23748262.87130265,374826.28713026515,1.0,6357770.005312928,62453,0.0,8.0,6,0.0,1412818.228748982
10,148683472.81630442,200000000,1.6654760955806693,901499.2180356679,90159.76457262493,8113394.534630429,901597.6457262493,24649860.517028898,464986.0517028901,1.0,7302153.508857967,73272,0.0,4.0,7,0.0,1622678.906926086
11,149115076.2684628,200000000,1.7243573316013154,1301681.8468620249,130172.98811749835,11715088.587445265,1301729.8811749832,25951590.39820388,595159.0398203884,1.0,10543627.763013698,108396,0.0,2.0,8,0.0,2343017.717489053
12,149706650.89325067,200000000,1.8042491729365973,1141747.1100213914,114175.87085454524,10275712.391668461,1141758.7085454522,27093349.106749333,709334.9106749337,1.5,9248152.751025675,98439,0.0,1.0,9,0.0,2055142.4783336923
13,148263392.6399572,200000000,1.90091868619133,1961425.3136888428,196148.07384059497,17652772.398482475,1961480.7384059494,28603274.02670946,905482.9845155287,1.0,15887550.583351335,176945,0.0,0.5,10,0.0,3530554.4796964955
14,146952624.42862156,200000000,1.9980557741167893,1854145.590552234,185415.6111780809,16687299.79374153,1854156.1117808088,29980708.904711775,1090898.5956936097,1.0,15018580.33559595,176229,0.0,0.25,11,0.0,3337459.958748306
15,145473481.13124335,200000000,2.1118383678327315,2045488.445790057,204548.8445790057,18409396.012110513,2045488.4457900568,31526518.868756637,1295447.4402726153,1.0,16568456.410899458,204350,0.0,0.125,12,0.0,3681879.202422103
16,143194063.2018476,200000000,2.283351693531021,2871488.695521375,287152.6577208354,25843360.378005397,2871526.5772083537,33872603.464819044,1582600.0979934507,1.0,23259062.22189184,303206,0.0,0.0625,13,0.0,5168672.0756010795
17,140361505.49118337,200000000,2.5115562136229777,3463732.7321966277,346376.7768411253,31173559.553555023,3463767.768411253,36771827.84214998,1928976.874834576,1.0,28056238.634414144,395446,0.0,0.03125,14,0.0,6234711.910711005
18,137861015.55325538,200000000,2.8634982750192775,3179972.622822179,318002.0401963792,28619705.826257996,3180020.401963792,39338984.446744606,2246978.9150309553,1.5,25757783.02277381,399334,0.0,0.015625,15,0.0,5723941.1652516
19,136081706.56686297,200000000,3.076686739008341,2501562.5336640985,250162.53938381627,22513999.942802824,2501625.3938381625,41184960.099803686,2497141.4544147714,1.0,20262662.8086966,358161,0.0,0.0078125,16,0.0,4502799.988560565
20,133834158.7572993,200000000,3.356055775636748,3000591.4748979495,300063.0477893763,27005284.271085728,3000630.4778937623,43499174.576034054,2797204.5022041476,1.0,24304794.84697297,461594,0.0,0.00390625,17,0.0,5401056.854217146
21,130383808.27013004,200000000,3.7982639053498053,4241955.721757617,424200.3396769803,38177553.82080636,4242003.396769802,47016191.729869954,3221404.841881128,1.0,34359846.11373791,711812,0.0,0.001953125,18,0.0,7635510.764161273
22,126713960.40803155,200000000,4.347001154001003,4520107.193135872,452011.7724262985,40680954.20709573,4520117.724262985,50752706.2586351,3673416.6143074264,1.0,36612869.317513265,858428,0.0,0.0009765625,19,0.0,8136190.841419145
23,123766925.21649665,200000000,4.8960066324932745,3859548.0897349063,385958.0295845519,34735900.601503536,3859580.295845519,53766408.116836704,4059374.643891978,1.0,31262342.747463804,838873,0.0,0.00048828125,20,0.0,6947180.120300707
24,121162914.30126119,200000000,5.771578878438301,3566755.789116875,356678.438384938,32100773.507319365,3566784.3838493796,56437085.698738806,4416053.082276916,1.5,28890724.751319934,873143,0.0,0.000244140625,21,0.0,6420154.7014638735
25,119120016.84058225,200000000,6.477781417656114,3605713.5210861126,360573.7777880128,32451397.432980992,3605737.777880128,59102205.38163995,4776626.860064929,1.0,29150726.390921358,1040533,0.0,0.0001220703125,22,55555.555555555555,6490279.486596199
26,117369089.02689281,200000000,7.226887526907262,3358177.529841874,335818.6792272347,30223588.50614639,3358186.7922723466,61475355.41755163,5112445.539292164,1.0,27145683.36240667,1087677,0.0,6.103515625e-05,23,55555.555555555555,6044717.701229278
27,115896410.97256991,200000000,8.012962456749696,3119489.533504303,311948.9533504303,28075405.801538724,3119489.5335043026,63570255.69409674,5424394.4926425945,1.0,25212309.665829297,1127210,0.0,3.0517578125e-05,24,55555.555555555555,5615081.160307745
28,113861809.04964039,200000000,9.07021983491986,3716318.4228968876,371632.8406720028,33446855.822248846,3716328.4067200283,66227079.839248486,5796027.333314598,1.0,30046624.668291546,1488936,0.0,1.52587890625e-05,25,55555.555555555555,6689371.16444977
29,111986646.32866511,200000000,10.24923915354047,3601158.582093904,360116.9607185006,32410416.213754028,3601169.607185006,68724464.78244603,6156144.294033098,1.0,29113830.061914176,1633165,0.0,7.62939453125e-06,26,55555.555555555555,6482083.242750806
30,110598529.85448012,200000000,12.0219765364566,3155736.685959485,315574.64427812846,28401620.416813564,3155746.4427812845,70734803.47885321,6471718.938311227,1.5,25505912.57639845,1617195,0.0,3.814697265625e-06,27,55555.555555555555,5680324.083362713
31,110453862.30253354,200000000,12.876674726627133,1945791.5201433855,194580.3165483033,17512112.03595082,1945803.1654830328,71501693.25302202,6666299.25485953,1.0,15705356.922139833,1169613,0.0,1.9073486328125e-06,28,55555.555555555555,3502422.4071901646
32,110158244.10317631,200000000,13.872106212338018,2109521.3303656336,210953.53091298582,18985677.994526476,2109535.309129858,72419533.67460151,6877252.785772516,1.0,17031568.6182825,1358181,0.0,9.5367431640625e-07,29,55555.555555555555,3797135.598905295
